Time,hp,X,Y,Z,IT,ET,VOLT Bat,lat,long,alt,RH,IT C,EXT C
7,977.69,9.07,-2.76,-3.33,0.71,0.63,21, N/A, N/A, N/A,33.7,21,13
10,977.71,8.84,-1.39,-4.64,0.72,0.63,21, N/A, N/A, N/A,33.8,22,13
12,977.61,8.78,-1.62,-5.97,0.72,0.63,21, N/A, N/A, N/A,33.55,22,13
14,977.62,7.97,-5.5,-6.16,0.72,0.63,21, N/A, N/A, N/A,33.43,22,13
17,977.73,0.73,-9.98,-1.68,0.72,0.63,21, N/A, N/A, N/A,33.43,22,13
19,977.67,0.73,-10,-1.69,0.72,0.63,21, N/A, N/A, N/A,33.45,22,13
22,977.69,0.73,-9.98,-1.7,0.72,0.63,21, N/A, N/A, N/A,33.45,22,13
24,977.71,0.71,-9.98,-1.7,0.72,0.63,21, N/A, N/A, N/A,33.43,22,13
26,977.7,0.73,-9.97,-1.75,0.72,0.63,21, N/A, N/A, N/A,33.43,22,13
28,977.71,0.73,-9.98,-1.69,0.72,0.63,21, N/A, N/A, N/A,33.48,22,13
31,977.73,0.72,-10,-1.7,0.72,0.63,21, N/A, N/A, N/A,33.55,22,13
33,977.64,0.71,-9.99,-1.7,0.7,0.62,21, N/A, N/A, N/A,33.65,20,12
36,977.7,0.74,-10,-1.73,0.72,0.63,22, N/A, N/A, N/A,33.7,22,13
38,977.73,0.74,-9.98,-1.7,0.72,0.63,21, N/A, N/A, N/A,33.78,22,13
40,977.65,0.74,-9.99,-1.69,0.72,0.63,21, N/A, N/A, N/A,33.85,22,13
43,977.8,0.74,-9.98,-1.7,0.72,0.63,21, N/A, N/A, N/A,33.9,22,13
45,977.75,0.73,-9.97,-1.67,0.72,0.63,21, N/A, N/A, N/A,33.95,22,13
47,977.71,0.72,-9.99,-1.7,0.72,0.63,21, N/A, N/A, N/A,33.95,22,13
50,977.64,0.75,-9.99,-1.7,0.72,0.63,21, N/A, N/A, N/A,33.92,22,13
52,977.84,0.75,-9.99,-1.72,0.72,0.63,21, N/A, N/A, N/A,33.92,22,13
54,977.8,0.73,-9.99,-1.67,0.72,0.63,21, N/A, N/A, N/A,33.9,22,13
57,977.72,0.72,-9.97,-1.71,0.72,0.63,21, N/A, N/A, N/A,33.87,22,13
59,977.74,0.73,-10,-1.68,0.72,0.63,21, N/A, N/A, N/A,33.78,22,13
61,977.8,0.73,-10,-1.75,0.72,0.64,21, N/A, N/A, N/A,33.73,22,14
63,977.84,0.72,-10,-1.73,0.69,0.63,21, N/A, N/A, N/A,33.75,19,13
66,977.78,0.72,-9.97,-1.73,0.72,0.63,21, N/A, N/A, N/A,33.75,22,13
68,977.68,0.74,-10,-1.71,0.72,0.63,21, N/A, N/A, N/A,33.68,22,13
71,977.77,0.73,-10,-1.7,0.72,0.64,21, N/A, N/A, N/A,33.65,22,14
